product_name,product_price,product_original_price,discount
WeCool Moonwalk Mini Earbuds with Magnetic Charging Case IPX5 Wireless Earphones with Digital Battery Indicator for Crisp Sound Bluetooth Earphones for Secure Sports Fit,Rs699,"Rs1,999","1,300 (65%)"
"boAt Airdopes 121v2 TWS Earbuds with Bluetooth V5.0, Immersive Audio, Up to 14H Total Playback, Instant Voice Assistant, Easy Access Controls with Mic and Dual Tone Ergonomic Design(Cherry Blossom)","Rs1,299","Rs2,990","1,691 (57%)"
boAt Airdopes 171 Bluetooth Truly Wireless Earbuds with Mic(Mysterious Blue),"Rs1,299","Rs5,999","4,700 (78%)"
boAt Airdopes 281 Bluetooth Truly Wireless Earbuds with Mic(Active Black),"Rs1,699","Rs4,999","3,300 (66%)"
boAt Airdopes 481V2 Bluetooth Truly Wireless Earbuds with Mic(Mysterious Blue),"Rs1,999","Rs5,990","3,991 (67%)"
boAt Airdopes 311v2 Bluetooth Truly Wireless Earbuds with Mic(Active Black),"Rs1,899","Rs6,999","5,100 (73%)"
boAt Airdopes 281 Bluetooth Truly Wireless Earbuds with Mic(Furious Blue),"Rs1,699","Rs4,999","3,300 (66%)"
boAt Airdopes 481V2 Bluetooth Truly Wireless Earbuds with Mic(Active Black),"Rs1,999","Rs5,990","3,991 (67%)"
boAt Airdopes 171 Bluetooth Truly Wireless Earbuds with Mic(Active Black),"Rs1,299","Rs5,999","4,700 (78%)"
"Boult Audio AirBass Tru5ive Pro True Wireless Earbuds with 36 Hours Total Playtime, IPX7 Fully Waterproof, Instant Voice Assistant, Immersive Sound with Sports fit & Noise Isolation and Built in mic","Rs2,499","Rs8,999","6,500 (72%)"
"Jabra Elite Active 65t Alexa Enabled True Wireless Sports Earbuds, 15 Hours Battery, Titanium Black, Designed in Denmark","Rs4,499","Rs16,999","12,500 (74%)"
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Raging Red)","Rs1,799","Rs5,999","4,200 (70%)"
boAt Airdopes 171 Bluetooth Truly Wireless Earbuds with Mic(Cool Grey),"Rs1,299","Rs5,999","4,700 (78%)"
boAt Rockerz 255 Pro in-Ear Bluetooth Neckband Earphone with Mic(Blazing Yellow),"Rs1,099","Rs3,499","2,400 (69%)"
"boAt Airdopes 311V2 True Wireless Ear-Buds with BT V5.0, Up to 15.5H Total Playback, IPX5 Water Resistance, Built-in Mic and Voice Assistant(Raging Red)","Rs1,899","Rs6,999","5,100 (73%)"
boAt Rockerz 261 in Ear Wireless Earphones with mic(Jazzy Blue),Rs999,"Rs4,990","3,991 (80%)"
boAt Rockerz 255 Sports in-Ear Bluetooth Neckband Earphone with Mic(Ocean Blue),Rs999,"Rs2,990","1,991 (67%)"
boAt Airdopes 201 Bluetooth Truly Wireless Earbuds with Mic(Furious Blue),"Rs1,499","Rs3,999","2,500 (63%)"
boAt Airdopes 171 Bluetooth Truly Wireless Earbuds with Mic(Rose Gold),"Rs1,299","Rs5,999","4,700 (78%)"
"pTron Bassbuds Vista in-Ear True Wireless Bluetooth 5.1 Headphones with Free 5W Wireless Charger, Deep Bass, IPX4 Water/Sweat Resistant, Passive Noise Cancelling Earphone with Built-in HD Mic-(Black)","Rs1,299","Rs2,999","1,700 (57%)"
"Jabra Elite 65t Alexa Enabled True Wireless Earbuds with Charging Case, 15 Hours Battery,Titanium Black, Designed in Denmark","Rs4,999","Rs15,499","10,500 (68%)"
"pTron Bassbuds Plus True Wireless Bluetooth 5.0 Headphones with Deep Bass, Made in India, IPX4 Water/Sweat Resistant, Passive Noise Canceling Earbuds, Digital Display Case & Built-in HD Mic - (Black)",Rs899,"Rs2,499","1,600 (64%)"
